#              ************************************,,,,,,,
#              *****    GLOBAL ATTRIBUTES    ******,,,,,,,
#              ************************************,,,,,,,
#,,,,,,,
#     PROJECT                         NSSDC,,,,,,,
#     DISCIPLINE                      Space Physics>Interplanetary Studies,,,,,,,
#     SOURCE_NAME                     OMNI (1AU IP Data)>Merged 1 minute Interplantary OMNI data,,,,,,,
#     DATA_TYPE                       HRO>Definitive 1minute,,,,,,,
#     DESCRIPTOR                      IMF and Plasma data,,,,,,,
#     DATA_VERSION                    1,,,,,,,
#     TITLE                           Near-Earth Heliosphere Data (OMNI),,,,,,,
#     TEXT                            1minute averaged definitive multispacecraft interplanetary parameters data,,,,,,,
#                                     Additional information for all parameters are available from OMNI Data Documentation:                  ,,,,,,,
#                                      https://omniweb.gsfc.nasa.gov/html/HROdocum.html                                                      ,,,,,,,
#                                     Additional data access options available at  SPDF's OMNIWeb Service: https://omniweb.gsfc.nasa.gov/ow_m,,,,,,,
#                                     Recent omni high resolution updates Release Notes: https://omniweb.gsfc.nasa.gov/html/hro_news.html    ,,,,,,,
#     MODS                            created November 2006;,,,,,,,
#                                     conversion to ISTP/IACG CDFs via SKTEditor Feb 2000,,,,,,,
#                                     Time tags in CDAWeb version were modified in March 2005 to use the,,,,,,,
#                                     CDAWeb convention of having mid-average time tags rather than OMNI's,,,,,,,
#                                     original convention of start-of-average time tags.,,,,,,,
#     LOGICAL_FILE_ID                 omni_hro_1min_00000000_v01,,,,,,,
#     PI_NAME                         J.H. King, N. Papatashvilli,,,,,,
#     PI_AFFILIATION                  AdnetSystems, NASA GSFC,,,,,,
#     GENERATION_DATE                 Ongoing,,,,,,,
#     ACKNOWLEDGEMENT                 NSSDC,,,,,,,
#     ADID_REF                        NSSD0110,,,,,,,
#     RULES_OF_USE                    Public,,,,,,,
#     INSTRUMENT_TYPE                 Plasma and Solar Wind,,,,,,,
#                                     Magnetic Fields (space),,,,,,,
#                                     Electric Fields (space),,,,,,,
#     GENERATED_BY                    King/Papatashvilli,,,,,,,
#     TIME_RESOLUTION                 1 minute,,,,,,,
#     LOGICAL_SOURCE                  omni_hro_1min,,,,,,,
#     LOGICAL_SOURCE_DESCRIPTION      OMNI Combined, Definitive, 1-minute IMF and Plasma Data Time-Shifted to the                            ,,,,,
#                                      Nose of the Earth's Bow Shock, plus Magnetic Indices                                                  ,,,,,,
#     LINK_TEXT                       Additional information for all parameters are available from,,,,,,,
#                                     Additional data access options available at,,,,,,,
#                                     Recent omni high resolution updates,,,,,,,
#     LINK_TITLE                      OMNI Data documentation,,,,,,,
#                                     SPDF's OMNIWeb Service,,,,,,,
#                                     Release Notes,,,,,,,
#     HTTP_LINK                       https://omniweb.gsfc.nasa.gov/html/HROdocum.html,,,,,,,
#                                     https://omniweb.gsfc.nasa.gov/ow_min.html,,,,,,,
#                                     https://omniweb.gsfc.nasa.gov/html/hro_news.html,,,,,,,
#     ALT_LOGICAL_SOURCE              Combined_OMNI_1AU-MagneticField-Plasma-HRO_1min_cdf,,,,,,,
#     MISSION_GROUP                   OMNI (Combined 1AU IP Data; Magnetic and Solar Indices),,,,,,,
#                                     ACE,,,,,,,
#                                     Wind,,,,,,,
#                                     IMP (All),,,,,,,
#                                     !___Interplanetary Data near 1 AU,,,,,,,
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/OMNI/HighResolutionObservations/Version1/PT1M,,,,,,,
#     CDAWEB_PARENTS                  omni_hro_1min_00000000_v01,,,,,,,
#                                     omni_hro_1min_20031101_v01,,,,,,,
#     CDFMAJOR                        COL_MAJOR,,,,,,,
#,,,,,,,
#              ************************************,,,,,,,
#              ****  RECORD VARYING VARIABLES  ****,,,,,,,
#              ************************************,,,,,,,
#,,,,,,,
#  1. Epoch Time,,,,,,,
#  2. Magnitude of avg. field vector (nT) (last currently-available OMNI B-field data Apr 11, 2023),,,,,,
#  3. Bx (nT), GSE,,,,,,
#  4. By (nT), GSE,,,,,,
#  5. Bz (nT), GSE,,,,,,
#  6. AE - 1-minute AE-index, from WDC Kyoto (Final 1988/001-1988/182, Provisional 1990/001-2019/090),,,,,
#  7. SYM/H - 1-minute SYM/H index,from WDC Kyoto (1981/001-2023/090),,,,,,
#,,,,,,,
EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,MAG_AVG_B-VECTOR_nT,BX__GSE_nT,BY__GSE_nT,BZ__GSE_nT,1-M_AE_nT,SYM/H_INDEX_nT,Time
2003-11-20T00:00:00.000Z,6.79,-3.54,5.29,2.39,90,2,0:00
2003-11-20T00:01:00.000Z,6.8,-3.72,4.97,2.74,50,1,0:01
2003-11-20T00:02:00.000Z,6.8,-4.36,4.6,2.45,49,1,0:02
2003-11-20T00:03:00.000Z,6.71,-4.96,4.21,1.58,44,1,0:03
2003-11-20T00:04:00.000Z,6.92,-5.22,4.21,1.78,40,1,0:04
2003-11-20T00:05:00.000Z,6.83,-5.22,4.16,1.54,30,1,0:05
2003-11-20T00:06:00.000Z,6.59,-4.76,4.43,0.75,26,1,0:06
2003-11-20T00:07:00.000Z,6.54,-4.69,4.54,0.63,26,1,0:07
2003-11-20T00:08:00.000Z,6.59,-3.91,5.15,1.24,26,0,0:08
2003-11-20T00:09:00.000Z,6.68,-4.6,3.81,2.84,31,0,0:09
2003-11-20T00:10:00.000Z,6.77,-4.84,3.12,3.48,31,0,0:10
2003-11-20T00:11:00.000Z,6.76,-4.98,2.75,3.6,28,0,0:11
2003-11-20T00:12:00.000Z,6.72,-4.26,4.94,-0.76,30,0,0:12
2003-11-20T00:13:00.000Z,6.8,-4.25,5.14,-1.28,26,-1,0:13
2003-11-20T00:14:00.000Z,6.8,-4.53,4.95,-1.02,23,-1,0:14
2003-11-20T00:15:00.000Z,6.62,-3.77,5.15,-1.7,27,-1,0:15
2003-11-20T00:16:00.000Z,6.44,-2.87,5.38,-2.12,28,-1,0:16
2003-11-20T00:17:00.000Z,6.64,-4.31,4.93,-0.27,33,-1,0:17
2003-11-20T00:18:00.000Z,6.6,-4.72,4.57,0.69,33,-1,0:18
2003-11-20T00:19:00.000Z,6.63,-4.22,5,-0.94,30,-1,0:19
2003-11-20T00:20:00.000Z,6.57,-4.28,4.92,-0.71,29,-1,0:20
2003-11-20T00:21:00.000Z,6.43,-4.38,4.78,0.01,31,-1,0:21
2003-11-20T00:22:00.000Z,6.34,-4.28,4.72,0.09,34,-1,0:22
2003-11-20T00:23:00.000Z,6.37,-4.62,4.44,0.21,32,-2,0:23
2003-11-20T00:24:00.000Z,6.37,-4.66,4.31,0.75,32,-2,0:24
2003-11-20T00:25:00.000Z,6.44,-4.98,4.02,-0.25,35,-2,0:25
2003-11-20T00:26:00.000Z,6.32,-4.6,4.37,0.22,33,-2,0:26
2003-11-20T00:27:00.000Z,6.32,-4.77,4.15,0.33,37,-2,0:27
2003-11-20T00:28:00.000Z,6.34,-4.68,4.07,1.37,32,-2,0:28
2003-11-20T00:29:00.000Z,6.29,-4.55,4.14,1.27,28,-2,0:29
2003-11-20T00:30:00.000Z,6.13,-4.42,3.98,1.46,36,-3,0:30
2003-11-20T00:31:00.000Z,6.02,-4.64,3.56,1.48,43,-3,0:31
2003-11-20T00:32:00.000Z,5.9,-4.88,2.52,2.06,43,-3,0:32
2003-11-20T00:33:00.000Z,5.81,-4.72,2.8,1.77,42,-3,0:33
2003-11-20T00:34:00.000Z,5.9,-4.95,1.4,2.37,40,-3,0:34
2003-11-20T00:35:00.000Z,5.64,-4.78,0.8,2.73,33,-2,0:35
2003-11-20T00:36:00.000Z,5.59,-4.8,1.75,2.15,34,-2,0:36
2003-11-20T00:37:00.000Z,5.58,-4.98,1.02,2.24,31,-2,0:37
2003-11-20T00:38:00.000Z,5.88,-5.22,0.56,2.49,32,-2,0:38
2003-11-20T00:39:00.000Z,6.23,-5.33,0.7,2.55,29,-2,0:39
2003-11-20T00:40:00.000Z,7.06,-6.02,1.04,3.1,30,-2,0:40
2003-11-20T00:41:00.000Z,5.94,-5.3,1.32,2.14,34,-2,0:41
2003-11-20T00:42:00.000Z,6.14,-5.59,1.07,2.15,39,-3,0:42
2003-11-20T00:43:00.000Z,6.53,-5.48,1.59,2.13,35,-3,0:43
2003-11-20T00:44:00.000Z,6.7,-5.01,2.7,0.58,30,-3,0:44
2003-11-20T00:45:00.000Z,6.5,-3.27,5.38,-1.49,33,-3,0:45
2003-11-20T00:46:00.000Z,6.41,-3.6,5.08,-1.47,34,-3,0:46
2003-11-20T00:47:00.000Z,6.39,-3.58,5.13,-1.21,31,-3,0:47
2003-11-20T00:48:00.000Z,6.44,-4.09,4.94,-0.53,31,-3,0:48
2003-11-20T00:49:00.000Z,6.4,-4.42,4.57,-0.58,35,-3,0:49
2003-11-20T00:50:00.000Z,6.35,-4.3,4.58,-0.84,33,-3,0:50
